# Logfile created on 2025-09-02 16:29:52 +0200 by logger.rb/v1.5.3
2025-09-02 16:29:52 +0200: Memory Usage (426112K) : nldb_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (426112K) : digibnd_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (426112K) : via1_drw has 1054 polygons
2025-09-02 16:29:52 +0200: Memory Usage (426376K) : backmetal1_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (426376K) : backmetal1_pin has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (426376K) : backmetal1_mask has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (426376K) : backmetal1_filler has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (426376K) : backmetal1_nofill has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (426640K) : backmetal1_slit has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (426640K) : backmetal1_text has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (426640K) : backmetal1_opc has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (426640K) : backmetal1_noqrc has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (426640K) : backmetal1_res has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (426640K) : backmetal1_iprobe has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (426904K) : backmetal1_diffprb has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (426904K) : backpassiv_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (426904K) : res_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (426904K) : sram_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (426904K) : trans_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427168K) : ind_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427168K) : ind_pin has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427168K) : ind_text has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427168K) : salblock_drw has 4 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427168K) : via2_drw has 460 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427432K) : metal3_drw has 139 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427432K) : metal3_pin has 17 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427432K) : metal3_mask has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427432K) : metal3_filler has 3428 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427432K) : metal3_nofill has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427432K) : metal3_slit has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427696K) : metal3_text has 16 polygons
2025-09-02 16:29:52 +0200: Memory Usage (427696K) : metal3_opc has 0 polygons
